n,t,Term
S. T. Worrall,depth map;different depth cue;proposed scheme;certain depth map viewpoint;depth data;depth information;depth map frame;encoding depth map;multi-view depth;proposed method,"['depth', 'map', 'differ', 'depth', 'cue', 'propos', 'scheme', 'certain', 'depth', 'map', 'viewpoint', 'depth', 'data', 'depth', 'inform', 'depth', 'map', 'frame', 'encod', 'depth', 'map', 'multi-view', 'depth', 'propos', 'method']"
Martin Weiglhofer,test case;test purpose;test suite;test purpose design;derive test case;test case generation;test engineer;test input data;Test Case GroupingModel-based test;failed test case,"['test', 'case', 'test', 'purpos', 'test', 'suit', 'test', 'purpos', 'design', 'deriv', 'test', 'case', 'test', 'case', 'gener', 'test', 'engin', 'test', 'input', 'data', 'test', 'case', 'groupingmodel-bas', 'test', 'fail', 'test', 'case']"
George Marsaglia,random number generator;random variable;normal variate;Generating discrete random variable;One-line random number generator;combinationsSome one-line random number;computerMany random variable;discrete random variable;exponential random variable;exponential random variablesA,"['random', 'number', 'gener', 'random', 'variabl', 'normal', 'variat', 'gener', 'discret', 'random', 'variabl', 'one-lin', 'random', 'number', 'gener', 'combinationssom', 'one-lin', 'random', 'number', 'computermani', 'random', 'variabl', 'discret', 'random', 'variabl', 'exponenti', 'random', 'variabl', 'exponenti', 'random', 'variablesa']"
Ivona Brandic,SLA violation;Service Level Agreements;cloud computing;SLA mapping;SLA template;Grid computing;Cloud infrastructure;possible SLA violation;public SLA template;autonomic computing,"['sla', 'violat', 'servic', 'level', 'agreement', 'cloud', 'comput', 'sla', 'map', 'sla', 'templat', 'grid', 'comput', 'cloud', 'infrastructur', 'possibl', 'sla', 'violat', 'public', 'sla', 'templat', 'autonom', 'comput']"
Scott Laurin Schneberger,software maintenance;various theory;information system;information systems research;research model;scientific research;software modification;system complexity;component simplicity;Theoretical Approaches,"['softwar', 'mainten', 'variou', 'theori', 'inform', 'system', 'inform', 'system', 'research', 'research', 'model', 'scientif', 'research', 'softwar', 'modif', 'system', 'complex', 'compon', 'simplic', 'theoret', 'approach']"
Huafeng Wu,simulation result;trust rating;trust system;P2P system;Wireless Sensor NetworksWireless sensor;reputation system;sensor node;important mechanism;analysis show;trust management,"['simul', 'result', 'trust', 'rate', 'trust', 'system', 'p2p', 'system', 'wireless', 'sensor', 'networkswireless', 'sensor', 'reput', 'system', 'sensor', 'node', 'import', 'mechan', 'analysi', 'show', 'trust', 'manag']"
Kasim S. Candan,data structure;hierarchical data;Multimedia data mining;data source;local data;data stream;multimedia data;underlying data;auxiliary data;available data,"['data', 'structur', 'hierarch', 'data', 'multimedia', 'data', 'mine', 'data', 'sourc', 'local', 'data', 'data', 'stream', 'multimedia', 'data', 'underli', 'data', 'auxiliari', 'data', 'avail', 'data']"
W. Abdelmoez,software architecture;software engineering;software product;Quantifying software architecture;software development;software development process;software evolution;software system;risk assessment;ad-hoc software construction,"['softwar', 'architectur', 'softwar', 'engin', 'softwar', 'product', 'quantifi', 'softwar', 'architectur', 'softwar', 'develop', 'softwar', 'develop', 'process', 'softwar', 'evolut', 'softwar', 'system', 'risk', 'assess', 'ad-hoc', 'softwar', 'construct']"
Fernando Sánchez-Figueroa,Web application;Web Models;Rich Internet Applications;actual Web system development;legacy Web application;widespread language-specific Web framework;Web Applications;Web Engineering approach;traditional Web Applications;HTML Web application,"['web', 'applic', 'web', 'model', 'rich', 'internet', 'applic', 'actual', 'web', 'system', 'develop', 'legaci', 'web', 'applic', 'widespread', 'language-specif', 'web', 'framework', 'web', 'applic', 'web', 'engin', 'approach', 'tradit', 'web', 'applic', 'html', 'web', 'applic']"
Shu-Ming Shi,web page;ranking function;query term;HTML document;million web page;experimental result;search performance;title field;web search;modern web search engine,"['web', 'page', 'rank', 'function', 'queri', 'term', 'html', 'document', 'million', 'web', 'page', 'experiment', 'result', 'search', 'perform', 'titl', 'field', 'web', 'search', 'modern', 'web', 'search', 'engin']"
Anjali Sardana,real time;DDoS attack;stable network functionality;SQL injection attack;cause network performance;network functionality;network functionally;network traffic classification;varying network condition;low rate DDoS attack,"['real', 'time', 'ddo', 'attack', 'stabl', 'network', 'function', 'sql', 'inject', 'attack', 'caus', 'network', 'perform', 'network', 'function', 'network', 'function', 'network', 'traffic', 'classif', 'vari', 'network', 'condit', 'low', 'rate', 'ddo', 'attack']"
Robert B. Schnabel,tensor method;nonlinear equation;direct tensor method;local tensor model;unconstrained optimization;standard tensor method;tensor methodsThis paper;tensor model;accurate tensor step;iterative tensor method,"['tensor', 'method', 'nonlinear', 'equat', 'direct', 'tensor', 'method', 'local', 'tensor', 'model', 'unconstrain', 'optim', 'standard', 'tensor', 'method', 'tensor', 'methodsthi', 'paper', 'tensor', 'model', 'accur', 'tensor', 'step', 'iter', 'tensor', 'method']"
Milan Sonka,proposed method;automated segmentation;segmentation problem;simultaneous segmentation;CT image;image segmentation;novel method;intraretinal layer segmentation;segmentation accuracy;segmentation approach,"['propos', 'method', 'autom', 'segment', 'segment', 'problem', 'simultan', 'segment', 'ct', 'imag', 'imag', 'segment', 'novel', 'method', 'intraretin', 'layer', 'segment', 'segment', 'accuraci', 'segment', 'approach']"
Xiquan Shi,smooth B-spline surface;point-sampled surface;B-spline surface;B-spline surface patch;common point;G1 smooth B-spline surfacesRecently;adjacent B-spline surface;surface reconstruction;triangulated surface;triangular mesh,"['smooth', 'b-spline', 'surfac', 'point-sampl', 'surfac', 'b-spline', 'surfac', 'b-spline', 'surfac', 'patch', 'common', 'point', 'g1', 'smooth', 'b-spline', 'surfacesrec', 'adjac', 'b-spline', 'surfac', 'surfac', 'reconstruct', 'triangul', 'surfac', 'triangular', 'mesh']"
Xuanhua Shi,virtual machine;grid computing;virtual organization;grid environment;dependable virtual execution environment;virtual execution environment;grid system;new virtual execution environment;virtual cluster;virtual environment,"['virtual', 'machin', 'grid', 'comput', 'virtual', 'organ', 'grid', 'environ', 'depend', 'virtual', 'execut', 'environ', 'virtual', 'execut', 'environ', 'grid', 'system', 'new', 'virtual', 'execut', 'environ', 'virtual', 'cluster', 'virtual', 'environ']"
Derchian Tsaih,transnational hierarchical global patch;consistent model;new data;global patch service cost;patch parameter;patch service delay;turnaround time;data item;forwarding data path;transnational enterprise network equipments,"['transnat', 'hierarch', 'global', 'patch', 'consist', 'model', 'new', 'data', 'global', 'patch', 'servic', 'cost', 'patch', 'paramet', 'patch', 'servic', 'delay', 'turnaround', 'time', 'data', 'item', 'forward', 'data', 'path', 'transnat', 'enterpris', 'network', 'equip']"
Bing Xue,classification performance;proposed algorithm;classification algorithm;better classification performance;classification accuracy;experimental result;feature selection;feature construction;original feature;top-ranked feature,"['classif', 'perform', 'propos', 'algorithm', 'classif', 'algorithm', 'better', 'classif', 'perform', 'classif', 'accuraci', 'experiment', 'result', 'featur', 'select', 'featur', 'construct', 'origin', 'featur', 'top-rank', 'featur']"
J W Barrett,finite element approximation;parametric finite element approximation;space dimension;practical finite element approximation;numerical experiment;stability bound;finite element error analysis;piecewise linear finite element;mesh point;Galerkin finite element approximation,"['finit', 'element', 'approxim', 'parametr', 'finit', 'element', 'approxim', 'space', 'dimens', 'practic', 'finit', 'element', 'approxim', 'numer', 'experi', 'stabil', 'bound', 'finit', 'element', 'error', 'analysi', 'piecewis', 'linear', 'finit', 'element', 'mesh', 'point', 'galerkin', 'finit', 'element', 'approxim']"
Vasilis Vassalos,XPath query;sensory data;querying XML data source;XPath processing technique;XML data management;autonomous data source;reliable sensory data;underlying physical data model;XPath axis;XPath containment,"['xpath', 'queri', 'sensori', 'data', 'queri', 'xml', 'data', 'sourc', 'xpath', 'process', 'techniqu', 'xml', 'data', 'manag', 'autonom', 'data', 'sourc', 'reliabl', 'sensori', 'data', 'underli', 'physic', 'data', 'model', 'xpath', 'axi', 'xpath', 'contain']"
Zhiyi Fang,ABDS algorithm;DTDS algorithm;direction search algorithm;theoretical analysis;intelligent transport system;network coverage;queueing network model;OGSA-DAI GT;current OGSA-DAI release;data resource,"['abd', 'algorithm', 'dtd', 'algorithm', 'direct', 'search', 'algorithm', 'theoret', 'analysi', 'intellig', 'transport', 'system', 'network', 'coverag', 'queue', 'network', 'model', 'ogsa-dai', 'gt', 'current', 'ogsa-dai', 'releas', 'data', 'resourc']"
Hitoshi Miyata,mobile phone;LOS system;comment card system;video clip;PC system;comment card system Web;pavilion exhibit feedback system;teaching improvement support system;prospective teacher;observational data,"['mobil', 'phone', 'lo', 'system', 'comment', 'card', 'system', 'video', 'clip', 'pc', 'system', 'comment', 'card', 'system', 'web', 'pavilion', 'exhibit', 'feedback', 'system', 'teach', 'improv', 'support', 'system', 'prospect', 'teacher', 'observ', 'data']"
Goiuria Sagardui,quality attribute;product line;software product line;Product-line architecture;embedded software product linesNowadays;traditional software development;Software Product Lines;customer-specific product;cost-effective quality evaluation;critical quality attribute,"['qualiti', 'attribut', 'product', 'line', 'softwar', 'product', 'line', 'product-lin', 'architectur', 'embed', 'softwar', 'product', 'linesnowaday', 'tradit', 'softwar', 'develop', 'softwar', 'product', 'line', 'customer-specif', 'product', 'cost-effect', 'qualiti', 'evalu', 'critic', 'qualiti', 'attribut']"
Sartaj Sahni,data structure;efficient algorithm;log n;approximation algorithm;algorithms guarantee;fast algorithm;algorithms sort;proposed algorithm;router table;corresponding algorithm,"['data', 'structur', 'effici', 'algorithm', 'log', 'n', 'approxim', 'algorithm', 'algorithm', 'guarante', 'fast', 'algorithm', 'algorithm', 'sort', 'propos', 'algorithm', 'router', 'tabl', 'correspond', 'algorithm']"
Q. Shi,new protocol;fair document exchange;recoverable encryption;document exchange;fair exchange;fair exchangeThis paper;encrypted key;original key;private key;strong fairness,"['new', 'protocol', 'fair', 'document', 'exchang', 'recover', 'encrypt', 'document', 'exchang', 'fair', 'exchang', 'fair', 'exchangethi', 'paper', 'encrypt', 'key', 'origin', 'key', 'privat', 'key', 'strong', 'fair']"
Evan Welbourne,RFID Ecosystem;location event;RFID data;RFID deployment;building-wide RFID deployment;personal RFID data;raw RFID data;complex location event;location sensor;location trace,"['rfid', 'ecosystem', 'locat', 'event', 'rfid', 'data', 'rfid', 'deploy', 'building-wid', 'rfid', 'deploy', 'person', 'rfid', 'data', 'raw', 'rfid', 'data', 'complex', 'locat', 'event', 'locat', 'sensor', 'locat', 'trace']"
Bin Wu,community detection;complex network;social network analysis;social network;egocentric network;real network;community structure;large-scale network;artificial network;customer egocentric network,"['commun', 'detect', 'complex', 'network', 'social', 'network', 'analysi', 'social', 'network', 'egocentr', 'network', 'real', 'network', 'commun', 'structur', 'large-scal', 'network', 'artifici', 'network', 'custom', 'egocentr', 'network']"
Guangming Shi,proposed method;natural image;experimental result;HR image;compound image;degraded image;high resolution image;image compression;image structure;original image,"['propos', 'method', 'natur', 'imag', 'experiment', 'result', 'hr', 'imag', 'compound', 'imag', 'degrad', 'imag', 'high', 'resolut', 'imag', 'imag', 'compress', 'imag', 'structur', 'origin', 'imag']"
Italo Epicoco,SOR algorithm;Grid Resource Broker;data grid;high performance computing;parallel application;biological data;computationally and-or data;data format;data integration service;data management system,"['sor', 'algorithm', 'grid', 'resourc', 'broker', 'data', 'grid', 'high', 'perform', 'comput', 'parallel', 'applic', 'biolog', 'data', 'comput', 'and-or', 'data', 'data', 'format', 'data', 'integr', 'servic', 'data', 'manag', 'system']"
Elaine Shi,implicit authentication;sybil attack;data source;differential privacy;plaintext privacy;privacy application;privacy concern;query predicate;Controlling data;MassesOffering strong data protection,"['implicit', 'authent', 'sybil', 'attack', 'data', 'sourc', 'differenti', 'privaci', 'plaintext', 'privaci', 'privaci', 'applic', 'privaci', 'concern', 'queri', 'predic', 'control', 'data', 'massesoff', 'strong', 'data', 'protect']"
